id,po_line_id,supplier_id,promised_date,confirmed_quantity,status,delay_reason,created_at,eta,eta_ts
OC901279,90034-3,3018,2026-07-30 00:00:00,357,confirmed,,2026-07-02T00:00:00+08:00,04/09/2026,2026-09-04T08:00:00+08:00
OC899539,90035-1,3001,2026-06-30 00:00:00,365,confirmed,,2026-07-12T00:00:00+08:00,,
OC855057,90035-2,3001,2026-07-04 00:00:00,147,confirmed,,2026-07-11T00:00:00+08:00,,
OC527193,90036-1,3004,2026-07-02 00:00:00,109,confirmed,,2026-07-01T00:00:00+08:00,2026-08-27 00:00:00,2026-08-27T14:00:00+08:00
OC498776,90037-1,3027,2026-07-11 00:00:00,508,confirmed,,2026-07-10T00:00:00+08:00,,
OC345942,90038-1,3017,2026-07-06 00:00:00,537,confirmed,,2026-07-05T00:00:00+08:00,,
OC865131,90038-3,3017,2026-07-17 00:00:00,226,confirmed,,2026-07-01T00:00:00+08:00,2026-08-27 00:00:00,
OC335935,90039-1,3011,2026-07-14 00:00:00,494,confirmed,,2026-06-25T00:00:00+08:00,2026-07-26 00:00:00,2026-07-26T14:00:00+08:00
OC371067,90040-1,3042,04/08/2026,158,at_risk,logistics delay,2026-06-26T00:00:00+08:00,27/07/2026,2026-07-27T14:00:00+08:00
OC537660,90040-2,3042,2026-07-14 00:00:00,259,confirmed,,2026-07-10T00:00:00+08:00,2026-09-04 00:00:00,2026-09-04T08:00:00+08:00
OC117402,90041-1,3044,2026-06-29 00:00:00,343,delayed,raw material shortage,2026-07-02T00:00:00+08:00,,
OC727738,90042-2,3005,2026-07-23 00:00:00,757,confirmed,,2026-07-12T00:00:00+08:00,Aug 19 2026,
OC370142,90042-3,3005,2026-06-30 00:00:00,568,confirmed,,2026-07-14T00:00:00+08:00,,
OC863456,90043-1,3022,2026-07-23 00:00:00,555,confirmed,,2026-07-15T00:00:00+08:00,15/08/2026,2026-08-15T08:00:00+08:00
OC158254,90044-1,3042,2026-08-03 00:00:00,689,confirmed,,2026-07-04T00:00:00+08:00,,
OC136944,90044-2,3042,2026-07-30 00:00:00,175,confirmed,,2026-07-02T00:00:00+08:00,,
OC933604,90044-3,3042,14/07/2026,102,at_risk,logistics delay,2026-07-15T00:00:00+08:00,2026-09-03 00:00:00,2026-09-03T08:00:00+08:00
OC698866,90045-1,3033,2026-07-20 00:00:00,73,confirmed,,2026-07-10T00:00:00+08:00,,
OC107860,90045-2,3033,2026-07-01 00:00:00,112,confirmed,,2026-07-06T00:00:00+08:00,23/07/2026,2026-07-23T08:00:00+08:00
OC849298,90045-3,3033,2026-07-15 00:00:00,489,confirmed,,2026-07-04T00:00:00+08:00,Aug 1 2026,2026-08-01T08:00:00+08:00
OC155826,90047-1,3001,2026-07-25 00:00:00,172,confirmed,,2026-07-08T00:00:00+08:00,27/07/2026,2026-07-27T17:00:00+08:00
OC301404,90047-2,3001,2026-06-30 00:00:00,351,at_risk,logistics delay,2026-07-15T00:00:00+08:00,,
OC739525,90049-1,3026,2026-07-31 00:00:00,657,confirmed,,2026-07-08T00:00:00+08:00,2026-09-01 00:00:00,2026-09-01T17:00:00+08:00
OC181229,90050-1,3031,14/07/2026,257,delayed,supplier capacity,2026-07-11T00:00:00+08:00,28/07/2026,2026-07-28T10:00:00+08:00
OC460840,90050-2,3031,2026-07-30 00:00:00,759,confirmed,,2026-07-11T00:00:00+08:00,26/08/2026,2026-08-26T14:00:00+08:00
OC564480,90051-1,3016,24/07/2026,164,confirmed,,2026-06-30T00:00:00+08:00,Jul 25 2026,2026-07-25T17:00:00+08:00
OC488608,90051-2,3016,2026-07-29 00:00:00,321,confirmed,,2026-07-03T00:00:00+08:00,2026-08-14 00:00:00,2026-08-14T14:00:00+08:00
OC906075,90051-3,3016,2026-07-26 00:00:00,639,confirmed,,2026-07-10T00:00:00+08:00,,
OC790062,90052-1,3002,2026-07-11 00:00:00,56,confirmed,,2026-07-01T00:00:00+08:00,2026-08-21 00:00:00,2026-08-21T10:00:00+08:00
OC920844,90052-2,3002,2026-07-23 00:00:00,770,confirmed,,2026-07-03T00:00:00+08:00,2026-08-09 00:00:00,2026-08-09T08:00:00+08:00
OC929856,90052-3,3002,2026-07-22 00:00:00,774,confirmed,,2026-06-26T00:00:00+08:00,Aug 16 2026,2026-08-16T14:00:00+08:00
OC727302,90053-1,3045,2026-07-08 00:00:00,239,delayed,logistics delay,2026-07-15T00:00:00+08:00,Aug 25 2026,2026-08-25T17:00:00+08:00
OC569116,90053-2,3045,15/07/2026,287,confirmed,,2026-07-07T00:00:00+08:00,2026-08-19 00:00:00,2026-08-19T17:00:00+08:00
OC451199,90054-1,3018,28/07/2026,773,confirmed,,2026-06-25T00:00:00+08:00,2026-08-08 00:00:00,2026-08-08T08:00:00+08:00
OC529957,90055-1,3040,2026-07-03 00:00:00,155,confirmed,,2026-07-07T00:00:00+08:00,Aug 13 2026,
OC125032,90055-2,3040,2026-07-24 00:00:00,461,at_risk,raw material shortage,2026-06-29T00:00:00+08:00,2026-08-26 00:00:00,
OC781953,90056-1,3039,2026-07-07 00:00:00,497,delayed,logistics delay,2026-07-03T00:00:00+08:00,,
OC479914,90056-2,3039,2026-07-17 00:00:00,293,confirmed,,2026-07-03T00:00:00+08:00,Aug 25 2026,2026-08-25T10:00:00+08:00
OC234307,90057-1,3021,2026-07-09 00:00:00,605,delayed,raw material shortage,2026-07-01T00:00:00+08:00,Jul 27 2026,
OC474566,90057-2,3021,2026-07-13 00:00:00,337,confirmed,,2026-06-26T00:00:00+08:00,,
OC898126,90059-1,3020,2026-07-10 00:00:00,274,confirmed,,2026-07-06T00:00:00+08:00,2026-08-24 00:00:00,2026-08-24T17:00:00+08:00
OC668589,90059-2,3020,02/08/2026,278,delayed,logistics delay,2026-07-14T00:00:00+08:00,2026-08-01 00:00:00,
OC993894,90060-1,3008,Jul 22 2026,333,confirmed,,2026-06-27T00:00:00+08:00,2026-08-18 00:00:00,
OC633471,90060-2,3008,2026-06-25 00:00:00,469,at_risk,logistics delay,2026-06-26T00:00:00+08:00,2026-08-31 00:00:00,
OC977721,90061-1,3024,2026-07-09 00:00:00,274,delayed,raw material shortage,2026-06-25T00:00:00+08:00,2026-07-26 00:00:00,2026-07-26T17:00:00+08:00
OC602806,90061-2,3024,2026-07-03 00:00:00,209,delayed,logistics delay,2026-07-06T00:00:00+08:00,Aug 8 2026,
OC756366,90062-1,3012,2026-07-13 00:00:00,250,confirmed,,2026-07-04T00:00:00+08:00,Sep 4 2026,2026-09-04T10:00:00+08:00
OC253294,90062-2,3012,Jun 27 2026,277,at_risk,supplier capacity,2026-07-06T00:00:00+08:00,2026-08-28 00:00:00,
OC229677,90063-1,3024,2026-08-03 00:00:00,390,delayed,logistics delay,2026-06-27T00:00:00+08:00,28/07/2026,
OC991405,90064-1,3033,2026-07-28 00:00:00,302,confirmed,,2026-06-25T00:00:00+08:00,,
OC378850,90064-2,3033,2026-07-26 00:00:00,483,confirmed,,2026-07-10T00:00:00+08:00,,
OC150401,90065-1,3040,2026-06-27 00:00:00,214,confirmed,,2026-07-05T00:00:00+08:00,Sep 1 2026,2026-09-01T17:00:00+08:00
OC124693,90065-2,3040,30/06/2026,25,confirmed,,2026-06-25T00:00:00+08:00,Aug 8 2026,2026-08-08T17:00:00+08:00
OC716909,90065-3,3040,2026-07-20 00:00:00,439,confirmed,,2026-07-06T00:00:00+08:00,2026-08-12 00:00:00,2026-08-12T17:00:00+08:00
OC491513,90066-1,3011,2026-07-07 00:00:00,10,confirmed,,2026-07-10T00:00:00+08:00,,
OC849986,90067-1,3032,2026-07-19 00:00:00,515,delayed,logistics delay,2026-07-10T00:00:00+08:00,,
OC352081,90067-2,3032,2026-07-29 00:00:00,79,delayed,supplier capacity,2026-07-06T00:00:00+08:00,10/08/2026,2026-08-10T17:00:00+08:00
OC186456,90068-1,3008,2026-07-21 00:00:00,700,confirmed,,2026-07-08T00:00:00+08:00,,
OC150541,90069-1,3025,2026-07-16 00:00:00,224,confirmed,,2026-07-13T00:00:00+08:00,2026-08-05 00:00:00,2026-08-05T17:00:00+08:00
OC628473,90070-1,3026,2026-07-08 00:00:00,284,confirmed,,2026-06-30T00:00:00+08:00,,
OC919227,90071-1,3014,2026-07-14 00:00:00,553,confirmed,,2026-07-02T00:00:00+08:00,2026-08-17 00:00:00,2026-08-17T10:00:00+08:00
OC955240,90071-2,3014,2026-08-03 00:00:00,132,confirmed,,2026-07-01T00:00:00+08:00,,
OC719531,90072-1,3010,2026-07-15 00:00:00,726,confirmed,,2026-06-30T00:00:00+08:00,22/08/2026,
OC594862,90072-2,3010,2026-06-25 00:00:00,488,confirmed,,2026-07-09T00:00:00+08:00,2026-08-01 00:00:00,2026-08-01T17:00:00+08:00
OC249057,90074-1,3043,2026-07-22 00:00:00,523,at_risk,raw material shortage,2026-06-25T00:00:00+08:00,2026-08-24 00:00:00,2026-08-24T10:00:00+08:00
OC387889,90075-1,3039,2026-08-02 00:00:00,250,confirmed,,2026-06-26T00:00:00+08:00,,
OC828543,90076-1,3040,2026-07-06 00:00:00,532,at_risk,supplier capacity,2026-06-26T00:00:00+08:00,2026-08-20 00:00:00,
OC365253,90076-2,3040,2026-07-13 00:00:00,211,confirmed,,2026-07-04T00:00:00+08:00,,
OC979597,90077-1,3042,2026-07-26 00:00:00,273,delayed,supplier capacity,2026-07-12T00:00:00+08:00,Aug 20 2026,2026-08-20T08:00:00+08:00
OC463748,90077-2,3042,2026-07-06 00:00:00,401,confirmed,,2026-07-05T00:00:00+08:00,06/08/2026,2026-08-06T17:00:00+08:00
OC594273,90078-1,3029,2026-07-10 00:00:00,795,delayed,raw material shortage,2026-07-07T00:00:00+08:00,21/08/2026,2026-08-21T14:00:00+08:00
OC501259,90078-2,3029,2026-06-28 00:00:00,257,confirmed,,2026-06-25T00:00:00+08:00,,
OC538338,90079-1,3040,Jul 25 2026,443,confirmed,,2026-07-13T00:00:00+08:00,2026-08-09 00:00:00,2026-08-09T10:00:00+08:00
OC222811,90079-2,3040,2026-07-22 00:00:00,158,confirmed,,2026-07-07T00:00:00+08:00,,
OC200101,90132-1,3019,2026-08-05 00:00:00,236,delayed,logistics delay,2026-07-20T00:00:00+08:00,2026-08-05 00:00:00,2026-08-05T08:00:00+08:00
OC200102,90133-2,3018,2026-08-25 00:00:00,628,confirmed,,2026-06-28T00:00:00+08:00,2026-09-09 00:00:00,2026-09-09T08:00:00+08:00
OC200103,90134-2,3039,26/08/2026,505,delayed,raw material shortage,2026-07-19T00:00:00+08:00,2026-07-29 00:00:00,2026-07-29T08:00:00+08:00
OC200104,90130-2,3017,2026-08-29 00:00:00,448,at_risk,raw material shortage,2026-07-23T00:00:00+08:00,,2026-08-30T08:00:00+08:00
OC200105,90144-3,3034,Jul 28 2026,223,confirmed,,2026-07-16T00:00:00+08:00,10/09/2026,
OC200106,90177-1,3064,17/08/2026,184,confirmed,,2026-06-28T00:00:00+08:00,2026-09-05 00:00:00,2026-09-05T17:00:00+08:00
OC200107,90202-3,3052,2026-07-22 00:00:00,133,confirmed,,2026-07-23T00:00:00+08:00,Jul 22 2026,2026-07-22T08:00:00+08:00
OC200108,90086-2,3063,2026-09-06 00:00:00,282,at_risk,logistics delay,2026-07-17T00:00:00+08:00,06/09/2026,2026-09-06T08:00:00+08:00
OC200109,90083-1,3063,09/08/2026,713,confirmed,,2026-07-07T00:00:00+08:00,2026-07-24 00:00:00,2026-07-24T08:00:00+08:00
OC200110,90192-3,3015,2026-09-01 00:00:00,356,confirmed,,2026-07-08T00:00:00+08:00,,
OC200111,90114-3,3043,2026-08-12 00:00:00,136,confirmed,,2026-07-09T00:00:00+08:00,Aug 14 2026,2026-08-14T17:00:00+08:00
OC200112,90124-1,3033,2026-08-01 00:00:00,155,delayed,raw material shortage,2026-07-19T00:00:00+08:00,2026-09-01 00:00:00,2026-09-01T17:00:00+08:00
OC200113,90203-1,3072,Aug 2 2026,387,at_risk,supplier capacity,2026-07-16T00:00:00+08:00,2026-08-19 00:00:00,2026-08-19T17:00:00+08:00
OC200114,90134-1,3039,26/07/2026,690,delayed,raw material shortage,2026-07-07T00:00:00+08:00,2026-07-24 00:00:00,
OC200115,90141-1,3006,2026-08-24 00:00:00,463,confirmed,,2026-07-18T00:00:00+08:00,Aug 24 2026,2026-08-24T17:00:00+08:00
OC200116,90154-1,3018,2026-07-22 00:00:00,537,at_risk,supplier capacity,2026-07-24T00:00:00+08:00,Jul 25 2026,
OC200117,90145-3,3004,12/08/2026,71,delayed,raw material shortage,2026-07-13T00:00:00+08:00,Aug 6 2026,2026-08-06T10:00:00+08:00
OC200118,90131-3,3039,2026-08-19 00:00:00,530,delayed,raw material shortage,2026-07-11T00:00:00+08:00,Aug 27 2026,
OC200119,90187-1,3050,2026-08-17 00:00:00,590,confirmed,,2026-07-14T00:00:00+08:00,2026-08-16 00:00:00,
OC200120,90126-3,3033,2026-08-26 00:00:00,690,confirmed,,2026-07-18T00:00:00+08:00,23/08/2026,2026-08-23T08:00:00+08:00
OC200121,90181-1,3032,Aug 12 2026,753,confirmed,,2026-07-18T00:00:00+08:00,Aug 20 2026,2026-08-20T10:00:00+08:00
OC200122,90124-2,3033,31/08/2026,580,confirmed,,2026-07-13T00:00:00+08:00,2026-08-13 00:00:00,2026-08-13T10:00:00+08:00
OC200123,90135-1,3020,Sep 7 2026,129,confirmed,,2026-07-05T00:00:00+08:00,2026-09-05 00:00:00,2026-09-05T17:00:00+08:00
OC200124,90113-2,3060,2026-08-12 00:00:00,795,delayed,logistics delay,2026-07-10T00:00:00+08:00,2026-09-05 00:00:00,
OC200125,90109-1,3055,2026-08-23 00:00:00,530,delayed,supplier capacity,2026-06-27T00:00:00+08:00,2026-08-28 00:00:00,2026-08-28T17:00:00+08:00
OC200126,90136-1,3053,2026-09-09 00:00:00,728,at_risk,raw material shortage,2026-07-15T00:00:00+08:00,2026-08-23 00:00:00,2026-08-23T14:00:00+08:00
OC200127,90119-1,3036,2026-09-04 00:00:00,300,delayed,raw material shortage,2026-07-09T00:00:00+08:00,,
OC200128,90161-1,3040,17/08/2026,738,confirmed,,2026-07-14T00:00:00+08:00,,
OC200129,90143-1,3032,2026-08-03 00:00:00,659,at_risk,supplier capacity,2026-07-19T00:00:00+08:00,04/08/2026,
OC200130,90178-1,3049,25/08/2026,747,confirmed,,2026-06-30T00:00:00+08:00,Aug 23 2026,2026-08-23T17:00:00+08:00
OC200131,90155-2,3059,2026-07-22 00:00:00,45,at_risk,raw material shortage,2026-07-09T00:00:00+08:00,2026-08-18 00:00:00,2026-08-18T10:00:00+08:00
OC200132,90128-3,3019,25/07/2026,228,confirmed,,2026-07-21T00:00:00+08:00,31/07/2026,
OC200133,90151-1,3044,2026-08-26 00:00:00,780,at_risk,supplier capacity,2026-07-17T00:00:00+08:00,2026-09-07 00:00:00,2026-09-07T14:00:00+08:00
OC200134,90093-3,3016,Aug 15 2026,721,confirmed,,2026-07-07T00:00:00+08:00,,2026-08-15T14:00:00+08:00
OC200135,90081-1,3053,31/08/2026,793,at_risk,raw material shortage,2026-07-15T00:00:00+08:00,2026-08-05 00:00:00,
OC200136,90141-2,3006,2026-08-02 00:00:00,211,confirmed,,2026-07-02T00:00:00+08:00,2026-08-19 00:00:00,2026-08-19T17:00:00+08:00
OC200137,90158-3,3062,01/08/2026,25,at_risk,raw material shortage,2026-07-07T00:00:00+08:00,2026-07-30 00:00:00,2026-07-30T14:00:00+08:00
OC200138,90180-1,3056,31/08/2026,522,confirmed,,2026-07-22T00:00:00+08:00,09/09/2026,2026-09-09T14:00:00+08:00
OC200139,90179-1,3051,2026-08-24 00:00:00,537,confirmed,,2026-07-02T00:00:00+08:00,Aug 2 2026,2026-08-02T10:00:00+08:00
OC200140,90126-2,3033,12/08/2026,389,confirmed,,2026-07-06T00:00:00+08:00,Sep 2 2026,
OC200141,90147-2,3032,02/09/2026,476,confirmed,,2026-07-04T00:00:00+08:00,,2026-07-29T10:00:00+08:00
OC200142,90157-2,3037,2026-09-10 00:00:00,415,confirmed,,2026-07-05T00:00:00+08:00,15/08/2026,2026-08-15T14:00:00+08:00
OC200143,90152-1,3050,24/07/2026,687,at_risk,raw material shortage,2026-07-03T00:00:00+08:00,2026-08-22 00:00:00,
OC200144,90153-1,3044,2026-08-31 00:00:00,235,at_risk,supplier capacity,2026-07-18T00:00:00+08:00,2026-07-22 00:00:00,
OC200145,90116-2,3027,Aug 25 2026,682,confirmed,,2026-07-23T00:00:00+08:00,,
OC200146,90118-2,3003,05/09/2026,58,confirmed,,2026-06-29T00:00:00+08:00,2026-08-20 00:00:00,
OC200147,90162-1,3037,05/08/2026,437,confirmed,,2026-07-09T00:00:00+08:00,Aug 27 2026,2026-08-27T08:00:00+08:00
OC200148,90094-1,3024,2026-07-22 00:00:00,794,confirmed,,2026-07-20T00:00:00+08:00,2026-08-25 00:00:00,2026-08-25T08:00:00+08:00
OC200149,90138-3,3040,27/07/2026,468,confirmed,,2026-07-09T00:00:00+08:00,2026-08-29 00:00:00,2026-08-29T10:00:00+08:00
OC200150,90089-1,3038,2026-08-31 00:00:00,325,delayed,supplier capacity,2026-07-18T00:00:00+08:00,,
OC200151,90123-1,3055,2026-08-26 00:00:00,146,confirmed,,2026-06-28T00:00:00+08:00,Jul 22 2026,2026-07-22T08:00:00+08:00
OC200152,90115-3,3035,07/09/2026,236,confirmed,,2026-07-10T00:00:00+08:00,,
OC200153,90156-3,3047,05/08/2026,218,confirmed,,2026-06-30T00:00:00+08:00,2026-08-02 00:00:00,
OC200154,90122-1,3069,2026-08-26 00:00:00,317,at_risk,raw material shortage,2026-07-18T00:00:00+08:00,2026-09-01 00:00:00,2026-09-01T17:00:00+08:00
OC200155,90182-1,3030,2026-07-30 00:00:00,122,confirmed,,2026-07-06T00:00:00+08:00,2026-08-13 00:00:00,2026-08-13T17:00:00+08:00
OC200156,90114-2,3043,2026-09-04 00:00:00,599,at_risk,supplier capacity,2026-07-15T00:00:00+08:00,10/08/2026,
OC200157,90158-1,3062,2026-08-06 00:00:00,749,confirmed,,2026-07-20T00:00:00+08:00,11/08/2026,
OC200158,90165-2,3011,Aug 20 2026,387,confirmed,,2026-07-21T00:00:00+08:00,2026-08-21 00:00:00,2026-08-21T08:00:00+08:00
OC200159,90157-3,3037,2026-08-25 00:00:00,289,confirmed,,2026-07-20T00:00:00+08:00,,2026-07-30T08:00:00+08:00
OC200160,90185-2,3046,2026-08-31 00:00:00,615,confirmed,,2026-07-15T00:00:00+08:00,2026-08-23 00:00:00,
OC200161,90105-2,3039,Aug 25 2026,689,confirmed,,2026-07-21T00:00:00+08:00,Aug 25 2026,2026-08-25T14:00:00+08:00
OC200162,90099-3,3055,Jul 27 2026,392,delayed,supplier capacity,2026-07-13T00:00:00+08:00,2026-08-23 00:00:00,
OC200163,90142-1,3058,2026-09-08 00:00:00,476,at_risk,supplier capacity,2026-07-02T00:00:00+08:00,2026-08-01 00:00:00,
OC200164,90171-2,3050,Aug 5 2026,257,confirmed,,2026-06-29T00:00:00+08:00,2026-07-24 00:00:00,2026-07-24T10:00:00+08:00
OC200165,90112-2,3033,Aug 21 2026,67,confirmed,,2026-06-28T00:00:00+08:00,,2026-08-15T14:00:00+08:00
OC200166,90088-1,3020,2026-08-25 00:00:00,405,confirmed,,2026-07-17T00:00:00+08:00,2026-08-28 00:00:00,2026-08-28T17:00:00+08:00
OC200167,90174-3,3069,16/08/2026,373,confirmed,,2026-07-12T00:00:00+08:00,2026-08-24 00:00:00,2026-08-24T10:00:00+08:00
OC200168,90152-2,3050,26/07/2026,236,confirmed,,2026-07-01T00:00:00+08:00,05/08/2026,2026-08-05T08:00:00+08:00
OC200169,90129-2,3048,2026-08-12 00:00:00,513,confirmed,,2026-07-18T00:00:00+08:00,2026-08-17 00:00:00,2026-08-17T17:00:00+08:00
OC200170,90189-2,3028,2026-07-30 00:00:00,157,confirmed,,2026-07-17T00:00:00+08:00,2026-07-24 00:00:00,2026-07-24T14:00:00+08:00
