notice_id,received_at,channel,supplier_id,item_number,notice_type,message_body,severity,confidence
DN-5070,Jun 14 2026,email,3065,SKU-RM-330,port_cutoff_miss,Shipment for SKU-RM-330 will miss the port cut-off on 2026-08-11.,high,0.63
DN-5071,Jul 16 2026,email,3054,SKU-RM-330,demand_spike,"Demand surge flagged for SKU-RM-330, exceeding safety stock.",medium,0.69
DN-5072,07/07/2026,teams,3001,SKU-TC-090,demand_spike,"Demand surge flagged for SKU-TC-090, exceeding safety stock.",critical,0.83
DN-5073,23/07/2026,email,3005,SKU-STL-014,demand_spike,"Demand surge flagged for SKU-STL-014, exceeding safety stock.",critical,0.81
DN-5074,2026-07-27 00:00:00,email,3032,SKU-RM-330,port_cutoff_miss,Shipment for SKU-RM-330 will miss the port cut-off on 2026-08-02.,high,0.84
DN-5075,23/06/2026,teams,3061,SKU-STL-014,port_cutoff_miss,Shipment for SKU-STL-014 will miss the port cut-off on 2026-08-05.,low,0.8
DN-5076,2026-07-22 00:00:00,teams,3064,SKU-CEM-101,demand_spike,"Demand surge flagged for SKU-CEM-101, exceeding safety stock.",low,0.94
DN-5077,Jun 27 2026,email,3031,SKU-STL-014,supplier_delay,Supplier advises 16 day delay on SKU-STL-014.,medium,0.68
DN-5078,2026-06-25 00:00:00,email,3030,SKU-WR-410,port_cutoff_miss,Shipment for SKU-WR-410 will miss the port cut-off on 2026-08-05.,medium,0.83
DN-5079,08/07/2026,email,3003,SKU-FS-055,port_cutoff_miss,Shipment for SKU-FS-055 will miss the port cut-off on 2026-08-09.,high,0.78
DN-5080,2026-07-25 00:00:00,teams,3048,SKU-TX-330,demand_spike,"Demand surge flagged for SKU-TX-330, exceeding safety stock.",critical,0.58
DN-5081,2026-06-16 00:00:00,email,3006,SKU-PL-220,demand_spike,"Demand surge flagged for SKU-PL-220, exceeding safety stock.",medium,0.8
DN-5082,2026-06-27 00:00:00,email,3054,SKU-WR-410,port_cutoff_miss,Shipment for SKU-WR-410 will miss the port cut-off on 2026-08-06.,medium,0.66
DN-5083,27/06/2026,teams,3036,SKU-WR-410,demand_spike,"Demand surge flagged for SKU-WR-410, exceeding safety stock.",high,
DN-5084,17/06/2026,teams,3050,SKU-TC-090,demand_spike,"Demand surge flagged for SKU-TC-090, exceeding safety stock.",critical,0.77
DN-5085,Jun 21 2026,teams,3002,SKU-TC-090,quality_hold,QA hold on inbound SKU-TC-090 pending inspection.,,0.94
DN-5086,2026-07-20 00:00:00,teams,3070,SKU-MT-101,port_cutoff_miss,Shipment for SKU-MT-101 will miss the port cut-off on 2026-08-05.,critical,0.75
DN-5087,Jul 20 2026,email,3009,SKU-TX-330,demand_spike,"Demand surge flagged for SKU-TX-330, exceeding safety stock.",high,0.62
DN-5088,2026-06-12 00:00:00,teams,3064,SKU-RB-201,quality_hold,QA hold on inbound SKU-RB-201 pending inspection.,critical,
DN-5089,Jul 5 2026,email,3062,SKU-PK-770,supplier_delay,Supplier advises 16 day delay on SKU-PK-770.,critical,
DN-5090,2026-07-18 00:00:00,teams,3024,SKU-CP-330,port_cutoff_miss,Shipment for SKU-CP-330 will miss the port cut-off on 2026-08-05.,,
DN-5091,Jul 27 2026,email,3047,SKU-AGG-220,quality_hold,QA hold on inbound SKU-AGG-220 pending inspection.,critical,0.65
DN-5092,2026-07-05 00:00:00,email,3018,SKU-CH-012,quality_hold,QA hold on inbound SKU-CH-012 pending inspection.,high,0.66
DN-5093,2026-06-12 00:00:00,email,3011,SKU-TC-090,quality_hold,QA hold on inbound SKU-TC-090 pending inspection.,high,0.94
DN-5094,2026-07-09 00:00:00,teams,3054,SKU-CH-012,port_cutoff_miss,Shipment for SKU-CH-012 will miss the port cut-off on 2026-08-06.,medium,
DN-5095,Jul 1 2026,teams,3011,SKU-RM-330,port_cutoff_miss,Shipment for SKU-RM-330 will miss the port cut-off on 2026-08-08.,,0.87
DN-5096,2026-07-01 00:00:00,teams,3021,SKU-CE-500,supplier_delay,Supplier advises 13 day delay on SKU-CE-500.,low,0.85
DN-5097,2026-07-09 00:00:00,email,3022,SKU-RB-201,demand_spike,"Demand surge flagged for SKU-RB-201, exceeding safety stock.",high,0.76
DN-5098,2026-07-10 00:00:00,teams,3023,SKU-EL-440,supplier_delay,Supplier advises 17 day delay on SKU-EL-440.,high,0.88
DN-5099,2026-07-10 00:00:00,teams,3021,SKU-STL-014,port_cutoff_miss,Shipment for SKU-STL-014 will miss the port cut-off on 2026-07-28.,low,0.67
DN-5100,2026-07-19 00:00:00,email,3061,SKU-CE-500,supplier_delay,Supplier advises 5 day delay on SKU-CE-500.,low,0.87
DN-5101,2026-06-18 00:00:00,teams,3066,SKU-CEM-101,quality_hold,QA hold on inbound SKU-CEM-101 pending inspection.,medium,0.96
DN-5102,Jul 13 2026,teams,3043,SKU-CP-330,port_cutoff_miss,Shipment for SKU-CP-330 will miss the port cut-off on 2026-08-10.,high,0.7
DN-5103,27/06/2026,email,3051,SKU-TC-090,supplier_delay,Supplier advises 4 day delay on SKU-TC-090.,high,
DN-5104,Jul 11 2026,email,3017,SKU-CEM-101,supplier_delay,Supplier advises 15 day delay on SKU-CEM-101.,,0.96
DN-5105,Jul 10 2026,teams,3065,SKU-CP-330,demand_spike,"Demand surge flagged for SKU-CP-330, exceeding safety stock.",low,
DN-5106,13/06/2026,email,3005,SKU-TX-330,quality_hold,QA hold on inbound SKU-TX-330 pending inspection.,medium,0.72
DN-5107,Jul 4 2026,email,3060,SKU-RM-330,quality_hold,QA hold on inbound SKU-RM-330 pending inspection.,high,0.86
DN-5108,Jun 20 2026,email,3011,SKU-PK-770,quality_hold,QA hold on inbound SKU-PK-770 pending inspection.,medium,
DN-5109,2026-07-12 00:00:00,email,3031,SKU-EL-440,demand_spike,"Demand surge flagged for SKU-EL-440, exceeding safety stock.",,
DN-5110,Jun 18 2026,email,3003,SKU-MT-101,port_cutoff_miss,Shipment for SKU-MT-101 will miss the port cut-off on 2026-08-08.,critical,
DN-5111,Jun 28 2026,teams,3015,SKU-PL-220,quality_hold,QA hold on inbound SKU-PL-220 pending inspection.,low,
DN-5112,2026-06-26 00:00:00,teams,3043,SKU-TC-090,quality_hold,QA hold on inbound SKU-TC-090 pending inspection.,high,0.79
DN-5113,2026-06-26 00:00:00,email,3033,SKU-RM-330,port_cutoff_miss,Shipment for SKU-RM-330 will miss the port cut-off on 2026-08-08.,low,0.7
DN-5114,19/06/2026,email,3016,SKU-TX-330,quality_hold,QA hold on inbound SKU-TX-330 pending inspection.,medium,0.68
DN-5115,Jul 6 2026,email,3040,SKU-RB-201,demand_spike,"Demand surge flagged for SKU-RB-201, exceeding safety stock.",medium,0.8
DN-5116,2026-07-07 00:00:00,teams,3068,SKU-WR-410,port_cutoff_miss,Shipment for SKU-WR-410 will miss the port cut-off on 2026-08-10.,medium,
DN-5060,22/06/2026,teams,3068,SKU-PK-770,supplier_delay,Supplier advises 17 day delay on SKU-PK-770.,high,0.94
