id,item_number,customer,qty,promised_date,priority,ship_from_node,status,created_at
CO-8016,SKU-AGG-220,Andaman Resorts Ltd,522,01/09/2026,high,IN01,allocated,2026-07-17T00:00:00+08:00
CO-8017,SKU-PL-220,Highland Infra JV,171,Aug 28 2026,high,CN01,allocated,2026-06-26T00:00:00+08:00
CO-8018,SKU-TX-330,Meridian Build Group,669,Sep 4 2026,high,MY02,allocated,2026-07-08T00:00:00+08:00
CO-8019,SKU-AGG-220,Nexus Retail Chain,483,2026-08-13 00:00:00,medium,CN01,open,2026-07-23T00:00:00+08:00
CO-8020,SKU-PK-770,Straits Construction Bhd,690,2026-08-03 00:00:00,medium,TH01,open,2026-07-23T00:00:00+08:00
CO-8021,SKU-EL-440,Highland Infra JV,517,2026-08-28 00:00:00,low,CN01,open,2026-06-18T00:00:00+08:00
CO-8022,SKU-CH-012,Highland Infra JV,240,Aug 11 2026,low,TH01,fulfilled,2026-07-12T00:00:00+08:00
CO-8023,SKU-AGG-220,Andaman Resorts Ltd,53,Aug 17 2026,medium,SG01,open,2026-07-20T00:00:00+08:00
CO-8024,SKU-TX-330,Andaman Resorts Ltd,293,2026-08-01 00:00:00,low,TH01,open,2026-07-05T00:00:00+08:00
CO-8025,SKU-PL-220,KL Metro Rail,291,2026-08-01 00:00:00,medium,SG01,open,2026-06-20T00:00:00+08:00
CO-8026,SKU-TX-330,KL Metro Rail,57,30/07/2026,high,MY01,fulfilled,2026-06-26T00:00:00+08:00
CO-8027,SKU-CP-330,Zenith Motors,294,2026-08-20 00:00:00,low,MY02,open,2026-07-25T00:00:00+08:00
CO-8028,SKU-FS-055,Andaman Resorts Ltd,550,Aug 28 2026,low,IN01,open,2026-07-07T00:00:00+08:00
CO-8029,SKU-WR-410,Straits Construction Bhd,446,Jul 31 2026,low,SG01,open,2026-06-18T00:00:00+08:00
CO-8030,SKU-CH-012,Straits Construction Bhd,630,2026-08-02 00:00:00,medium,IN01,allocated,2026-07-15T00:00:00+08:00
CO-8031,SKU-STL-014,Highland Infra JV,681,2026-08-28 00:00:00,medium,IN01,open,2026-07-02T00:00:00+08:00
CO-8032,SKU-CP-330,Straits Construction Bhd,492,2026-07-29 00:00:00,high,TH01,fulfilled,2026-06-27T00:00:00+08:00
CO-8033,SKU-CEM-101,Meridian Build Group,523,13/08/2026,high,IN01,open,2026-07-24T00:00:00+08:00
CO-8034,SKU-PK-770,Meridian Build Group,195,2026-08-30 00:00:00,medium,MY01,allocated,2026-06-24T00:00:00+08:00
CO-8035,SKU-PL-220,Nexus Retail Chain,599,Aug 13 2026,medium,TH01,fulfilled,2026-07-08T00:00:00+08:00
CO-8036,SKU-CH-012,Highland Infra JV,493,2026-08-13 00:00:00,medium,IN01,open,2026-07-16T00:00:00+08:00
CO-8037,SKU-TX-330,Meridian Build Group,166,Jul 27 2026,low,MY01,open,2026-07-13T00:00:00+08:00
CO-8038,SKU-CE-500,Highland Infra JV,432,2026-08-30 00:00:00,low,TH01,open,2026-07-15T00:00:00+08:00
CO-8039,SKU-RM-330,Zenith Motors,415,03/09/2026,high,MY02,open,2026-06-24T00:00:00+08:00
CO-8040,SKU-WR-410,Zenith Motors,227,2026-08-24 00:00:00,medium,CN01,open,2026-07-04T00:00:00+08:00
CO-8041,SKU-RB-201,KL Metro Rail,122,04/09/2026,medium,MY02,allocated,2026-07-10T00:00:00+08:00
CO-8042,SKU-AGG-220,Zenith Motors,534,2026-09-03 00:00:00,low,MY02,allocated,2026-06-24T00:00:00+08:00
CO-8043,SKU-CH-012,Straits Construction Bhd,542,2026-08-27 00:00:00,medium,CN01,open,2026-06-21T00:00:00+08:00
CO-8044,SKU-PL-220,Nexus Retail Chain,96,04/08/2026,medium,TH01,fulfilled,2026-06-29T00:00:00+08:00
CO-8045,SKU-CEM-101,Nexus Retail Chain,575,04/09/2026,high,MY01,allocated,2026-06-20T00:00:00+08:00
