id,supplier_number,name,status,primary_contact_email,country,x_tier,x_sole_source,created_at,updated_at,lead_time_days,moq
3015,SUP10015,Lumina Retail Co.,active,orders@sunrise.com,TH,tier-1,false,2022-08-23T00:00:00+08:00,2026-06-08T00:00:00+08:00,18,50
3016,SUP10016,Nimbus Tech Sdn Bhd,active,orders@meridian.com,SG,tier-1,false,2025-12-14T00:00:00+08:00,2026-05-15T00:00:00+08:00,3,1000
3017,SUP10017,Northgate Instruments GmbH,active,orders@delta.com,MY,tier-1,false,2025-08-10T00:00:00+08:00,2026-04-04T00:00:00+08:00,3,250
3018,SUP10018,Mekong Fasteners Pvt Ltd,active,orders@nimbus.com,SG,tier-1,false,2024-09-09T00:00:00+08:00,2026-07-13T00:00:00+08:00,5,2000
3019,SUP10019,Pacific Rim Textiles Co. ,active,orders@zenith.com,SG,tier-1,false,2024-06-26T00:00:00+08:00,2026-04-11T00:00:00+08:00,10,500
3020,SUP10020,Brightwave Solutions Co.,active,orders@summit.com,IN,tier-2,true,2023-07-09T00:00:00+08:00,2026-06-09T00:00:00+08:00,10,100
3021,SUP10021,Penang Circuit Supply Pte Ltd,active,orders@cendana.com,CN,tier-1,false,2025-10-07T00:00:00+08:00,2026-04-03T00:00:00+08:00,28,500
3022,SUP10022,Bharat Industrial Supplies LLC,inactive,orders@apex.com,SG,tier-3,false,2025-02-24T00:00:00+08:00,2026-06-01T00:00:00+08:00,,500
3023,SUP10023,Meridian Components Pvt Ltd ,active,orders@cendana.com,IN,tier-3,false,2023-09-27T00:00:00+08:00,2026-05-02T00:00:00+08:00,3,150
3024,SUP10024,Klang Valley Packaging Pte Ltd,active,orders@summit.com,SG,tier-1,false,2025-06-04T00:00:00+08:00,2026-06-10T00:00:00+08:00,28,250
3025,SUP10025,Apex Digital Bhd,inactive,orders@klang.com,SG,tier-1,false,2022-07-17T00:00:00+08:00,2026-07-10T00:00:00+08:00,10,50
3026,SUP10026,Pacific Rim Textiles Pte Ltd ,active,orders@zenith.com,IN,tier-1,false,2023-07-06T00:00:00+08:00,2026-07-02T00:00:00+08:00,60,100
3027,SUP10027,Sabah Timber Components Sdn Bhd,active,orders@kirana.com,SG,tier-1,false,2023-01-05T00:00:00+08:00,2026-07-04T00:00:00+08:00,45,150
3028,SUP10028,Everbright Plastics Pvt Ltd ,active,orders@harbor.com,SG,tier-3,false,2023-12-07T00:00:00+08:00,2026-04-05T00:00:00+08:00,60,100
3029,SUP10029,Northgate Instruments LLC ,active,orders@bharat.com,IN,tier-2,false,2024-02-18T00:00:00+08:00,2026-06-17T00:00:00+08:00,28,2000
3030,SUP10030,Delta Rubber Industries Co.,active,orders@northern.com,CN,tier-1,false,2024-04-17T00:00:00+08:00,2026-03-17T00:00:00+08:00,18,1000
3031,SUP10031,Sunrise Logistics Bhd,active,orders@nexus.com,MY,tier-1,false,2024-02-10T00:00:00+08:00,2026-06-30T00:00:00+08:00,10,250
3032,SUP10032,Delta Rubber Industries GmbH,active,orders@pacific.com,MY,tier-3,false,2022-12-18T00:00:00+08:00,2026-04-10T00:00:00+08:00,21,150
3033,SUP10033,Pacific Rim Textiles Sdn Bhd,active,orders@straits.com,CN,tier-2,false,2023-10-15T00:00:00+08:00,2026-03-21T00:00:00+08:00,35,500
3034,SUP10034,Nexus Logistics Pvt Ltd ,active,orders@johor.com,IN,tier-2,false,2023-04-15T00:00:00+08:00,2026-07-03T00:00:00+08:00,12,
3035,SUP10035,Bharat Industrial Supplies LLC,active,orders@cendana.com,IN,tier-1,false,2023-10-29T00:00:00+08:00,2026-05-29T00:00:00+08:00,3,150
3036,SUP10036,Everbright Plastics Pvt Ltd,active,orders@mekong.com,IN,tier-2,false,2023-11-17T00:00:00+08:00,2026-06-14T00:00:00+08:00,7,
3037,SUP10037,COASTAL CHEMICAL TRADERS GMBH,active,orders@coastal.com,SG,tier-1,false,2022-11-25T00:00:00+08:00,2026-07-06T00:00:00+08:00,60,500
3038,SUP10038,Kirana Traders Sdn Bhd,active,orders@coastal.com,MY,tier-2,false,2023-07-23T00:00:00+08:00,2026-07-10T00:00:00+08:00,18,1000
3039,SUP10039,Summit Steelworks GmbH,active,orders@selangor.com,TH,tier-1,false,2022-06-24T00:00:00+08:00,2026-07-03T00:00:00+08:00,14,250
3040,SUP10040,Nexus Logistics Sdn Bhd Pte Ltd,active,orders@brightwave.com,MY,tier-1,false,2024-01-08T00:00:00+08:00,2026-05-28T00:00:00+08:00,12,50
3041,SUP10041,Sunrise Logistics GmbH,active,orders@delta.com,IN,tier-1,false,2025-08-26T00:00:00+08:00,2026-07-07T00:00:00+08:00,7,150
3042,SUP10042,Sabah Timber Components Bhd,active,orders@bharat.com,MY,tier-2,false,2024-06-24T00:00:00+08:00,2026-06-07T00:00:00+08:00,10,500
3043,SUP10043,Highland Chemicals Pvt Ltd,active,orders@lumina.com,SG,tier-2,false,2023-07-04T00:00:00+08:00,2026-07-07T00:00:00+08:00,14,150
3044,SUP10044,Nimbus  Tech  Sdn  Bhd,active,orders@straits.com,MY,tier-2,false,2025-09-03T00:00:00+08:00,2026-04-09T00:00:00+08:00,5,2000
3045,SUP10045,Nexus Logistics Pte Ltd Co.,active,orders@andaman.com,SG,tier-1,false,2025-05-10T00:00:00+08:00,2026-07-08T00:00:00+08:00,5,1000
3046,SUP10046,Northern Wire & Cable Pte Ltd,active,orders@meridian.com,SG,tier-1,false,2022-07-20T00:00:00+08:00,2026-05-04T00:00:00+08:00,18,2000
3047,SUP10047,Summit Steelworks Sdn Bhd ,active,orders@apex.com,SG,tier-2,false,2024-01-10T00:00:00+08:00,2026-04-09T00:00:00+08:00,5,100
3048,SUP10048,Cendana Print Media GmbH,active,orders@apex.com,MY,tier-1,false,2025-09-26T00:00:00+08:00,2026-06-21T00:00:00+08:00,14,250
3049,SUP10049,Bharat Industrial Supplies Sdn Bhd,active,orders@nexus.com,TH,tier-2,false,2025-09-01T00:00:00+08:00,2026-05-13T00:00:00+08:00,14,100
3050,SUP10050,Andaman Alloys Sdn Bhd,active,orders@nexus.com,CN,tier-1,false,2025-04-21T00:00:00+08:00,2026-07-21T00:00:00+08:00,35,1000
3051,SUP10051,Zenith Polymers Pte Ltd,active,orders@zenith.com,CN,tier-1,false,2025-06-27T00:00:00+08:00,2026-04-09T00:00:00+08:00,3,50
3052,SUP10052,Straits Chemical Co.,active,orders@highland.com,SG,tier-1,false,2025-10-10T00:00:00+08:00,2026-04-06T00:00:00+08:00,18,1000
3053,SUP10053,Cendana Print Media LLC,active,orders@johor.com,MY,tier-3,false,2026-01-04T00:00:00+08:00,2026-06-29T00:00:00+08:00,5,250
3054,SUP10054,Johor Fabrication GmbH,active,orders@straits.com,SG,tier-2,false,2024-07-18T00:00:00+08:00,2026-05-26T00:00:00+08:00,3,250
3055,SUP10055,Nexus Rapid Logistics Bhd,active,orders@highland.com,IN,tier-2,false,2025-11-23T00:00:00+08:00,2026-06-01T00:00:00+08:00,5,100
3056,SUP10056,Highland Chemicals Sdn Bhd ,active,orders@highland.com,TH,tier-2,true,2025-08-13T00:00:00+08:00,2026-07-06T00:00:00+08:00,7,100
3057,SUP10057,Meridian Rapid Components Pte Ltd,inactive,orders@andaman.com,MY,tier-3,false,2025-02-13T00:00:00+08:00,2026-07-19T00:00:00+08:00,12,150
3058,SUP10058,Sunrise Express Freight Co.,active,orders@johor.com,MY,tier-1,false,2024-05-05T00:00:00+08:00,2026-06-30T00:00:00+08:00,21,50
3059,SUP10059,Bharat  Rapid  Supplies  Pvt  Ltd,active,orders@nexus.com,SG,tier-1,false,2025-08-23T00:00:00+08:00,2026-04-19T00:00:00+08:00,12,1000
3060,SUP10060,Klang Valley Packaging Bhd,active,orders@nexus.com,IN,tier-1,false,2025-03-22T00:00:00+08:00,2026-06-22T00:00:00+08:00,45,500
3061,SUP10061,Everbright Rapid Plastics Sdn Bhd,inactive,orders@andaman.com,TH,tier-3,false,2024-09-25T00:00:00+08:00,2026-04-06T00:00:00+08:00,14,
3062,SUP10062,Northern Wire & Cable LLC,active,orders@andaman.com,MY,tier-1,false,2026-02-01T00:00:00+08:00,2026-06-17T00:00:00+08:00,3,150
3063,SUP10063,Summit Steelworks Pte Ltd,active,orders@highland.com,IN,tier-1,false,2024-04-20T00:00:00+08:00,2026-06-02T00:00:00+08:00,10,250
3064,SUP10064,Apex Rapid Machinery Sdn Bhd,active,orders@johor.com,TH,tier-3,false,2026-02-17T00:00:00+08:00,2026-07-26T00:00:00+08:00,35,2000
3065,SUP10065,Delta Rubber Rapid Co.,inactive,orders@highland.com,SG,tier-1,false,2024-08-20T00:00:00+08:00,2026-04-10T00:00:00+08:00,5,1000
3066,SUP10066,Pacific Rim Rapid Textiles Bhd,inactive,orders@cendana.com,SG,tier-2,false,2026-02-23T00:00:00+08:00,2026-04-04T00:00:00+08:00,45,50
3067,SUP10067,Nimbus Rapid Tech Pte Ltd,inactive,orders@nexus.com,IN,tier-1,false,2024-05-29T00:00:00+08:00,2026-04-29T00:00:00+08:00,10,150
3068,SUP10068,COASTAL RAPID CHEMICALS GMBH,active,orders@cendana.com,TH,tier-3,false,2024-11-19T00:00:00+08:00,2026-05-27T00:00:00+08:00,10,50
3069,SUP10069,Mekong Rapid Fasteners Co.,active,orders@andaman.com,CN,tier-3,false,2024-02-23T00:00:00+08:00,2026-04-09T00:00:00+08:00,10,100
3070,SUP10070,Selangor Rapid Foundry LLC,inactive,orders@cendana.com,TH,tier-3,false,2025-03-24T00:00:00+08:00,2026-07-22T00:00:00+08:00,3,100
3071,SUP10071,Lumina Rapid Retail Sdn Bhd,active,orders@cendana.com,IN,tier-3,false,2025-05-18T00:00:00+08:00,2026-05-04T00:00:00+08:00,18,2000
3072,SUP10072,Zenith Polymers Pte Ltd,active,orders@zenith.com,CN,tier-1,false,2025-06-27T00:00:00+08:00,2026-04-09T00:00:00+08:00,3,50
