id,po_number,supplier_id,status,po_total,currency,ship_to_location,need_by_date,created_at,updated_at
90014,4500014,3013,issued,106697.1,MYR,IN01,2026-08-12 00:00:00,2026-05-08T00:00:00+08:00,2026-07-10T00:00:00+08:00
90015,4500015,3014,issued,104237.53,MYR,MY02,2026-07-05 00:00:00,2026-03-21T00:00:00+08:00,2026-06-25T00:00:00+08:00
90016,4500016,3015,soft_closed,124211.59,MYR,MY02,2026-08-12 00:00:00,2026-05-02T00:00:00+08:00,2026-06-22T00:00:00+08:00
90017,4500017,3048,issued,154863.49,MYR,MY01,2026-07-14 00:00:00,2026-06-04T00:00:00+08:00,2026-07-14T00:00:00+08:00
90018,4500018,3024,issued,86780.19,MYR,MY01,2026-08-04 00:00:00,2026-04-22T00:00:00+08:00,2026-06-15T00:00:00+08:00
90019,4500019,3013,soft_closed,136903.08,MYR,IN01,2026-07-13 00:00:00,2026-06-14T00:00:00+08:00,2026-06-29T00:00:00+08:00
90020,4500020,3020,soft_closed,51705.63,MYR,IN01,2026-07-16 00:00:00,2026-04-07T00:00:00+08:00,2026-07-12T00:00:00+08:00
90021,4500021,3022,closed,96313.28,MYR,MY02,2026-07-29 00:00:00,2026-06-13T00:00:00+08:00,2026-07-15T00:00:00+08:00
90022,4500022,3039,closed,103236.69,MYR,SG01,31/07/2026,2026-04-04T00:00:00+08:00,2026-07-08T00:00:00+08:00
90023,4500023,3031,soft_closed,148438.52,MYR,MY02,2026-07-21 00:00:00,2026-05-20T00:00:00+08:00,2026-07-02T00:00:00+08:00
90024,4500024,3041,issued,150873.43,MYR,SG01,01/07/2026,2026-04-03T00:00:00+08:00,2026-07-15T00:00:00+08:00
90025,4500025,3001,issued,48914.65,MYR,MY01,2026-07-21 00:00:00,2026-05-16T00:00:00+08:00,2026-06-22T00:00:00+08:00
90026,4500026,3011,issued,109321.8,MYR,SG01,2026-06-21 00:00:00,2026-04-22T00:00:00+08:00,2026-07-03T00:00:00+08:00
90027,4500027,3023,issued,51508.88,MYR,SG01,2026-08-01 00:00:00,2026-06-25T00:00:00+08:00,2026-07-04T00:00:00+08:00
90028,4500028,3014,issued,67896.96,MYR,MY01,2026-07-25 00:00:00,2026-05-07T00:00:00+08:00,2026-07-06T00:00:00+08:00
90029,4500029,3000,issued,174879.68,MYR,MY01,2026-08-01 00:00:00,2026-05-30T00:00:00+08:00,2026-06-18T00:00:00+08:00
90030,4500030,3022,closed,167053.6,MYR,IN01,2026-06-28 00:00:00,2026-06-27T00:00:00+08:00,2026-06-20T00:00:00+08:00
90031,4500031,3032,soft_closed,136390.05,MYR,IN01,2026-07-29 00:00:00,2026-04-08T00:00:00+08:00,2026-07-02T00:00:00+08:00
90032,4500032,3014,issued,59295.05,MYR,SG01,2026-07-16 00:00:00,2026-04-10T00:00:00+08:00,2026-07-04T00:00:00+08:00
90033,4500033,3027,issued,182196.89,MYR,MY02,2026-07-15 00:00:00,2026-05-21T00:00:00+08:00,2026-07-14T00:00:00+08:00
90034,4500034,3018,issued,189052.52,MYR,MY01,2026-07-01 00:00:00,2026-06-29T00:00:00+08:00,2026-06-21T00:00:00+08:00
90035,4500035,3001,issued,195314.67,MYR,IN01,2026-06-21 00:00:00,2026-04-26T00:00:00+08:00,2026-07-13T00:00:00+08:00
90036,4500036,3004,issued,146990.39,MYR,SG01,Jun 28 2026,2026-03-19T00:00:00+08:00,2026-06-20T00:00:00+08:00
90037,4500037,3027,soft_closed,15297.15,MYR,SG01,2026-07-10 00:00:00,2026-03-21T00:00:00+08:00,2026-06-22T00:00:00+08:00
90038,4500038,3017,closed,59200.87,MYR,SG01,2026-07-03 00:00:00,2026-04-09T00:00:00+08:00,2026-07-06T00:00:00+08:00
90039,4500039,3011,issued,96594.42,MYR,MY02,Jul 24 2026,2026-04-27T00:00:00+08:00,2026-06-27T00:00:00+08:00
90040,4500040,3042,closed,70227.54,MYR,SG01,2026-07-22 00:00:00,2026-04-01T00:00:00+08:00,2026-06-23T00:00:00+08:00
90041,4500041,3044,issued,122323.42,MYR,SG01,Aug 10 2026,2026-06-18T00:00:00+08:00,2026-06-26T00:00:00+08:00
90042,4500042,3005,closed,33341.53,MYR,IN01,2026-07-07 00:00:00,2026-06-26T00:00:00+08:00,2026-07-09T00:00:00+08:00
90043,4500043,3022,closed,164603.19,MYR,SG01,Jul 23 2026,2026-06-03T00:00:00+08:00,2026-06-21T00:00:00+08:00
90044,4500044,3042,issued,103882.02,MYR,MY02,2026-07-26 00:00:00,2026-03-23T00:00:00+08:00,2026-06-25T00:00:00+08:00
90045,4500045,3033,closed,162299.04,MYR,SG01,2026-07-06 00:00:00,2026-04-21T00:00:00+08:00,2026-07-01T00:00:00+08:00
90046,4500046,3033,issued,28302.29,MYR,SG01,27/07/2026,2026-06-22T00:00:00+08:00,2026-06-22T00:00:00+08:00
90047,4500047,3001,issued,40841.1,MYR,SG01,2026-06-29 00:00:00,2026-03-28T00:00:00+08:00,2026-07-08T00:00:00+08:00
90048,4500048,3038,issued,26809.31,MYR,IN01,2026-07-10 00:00:00,2026-03-30T00:00:00+08:00,2026-06-27T00:00:00+08:00
90049,4500049,3026,closed,182896.7,MYR,MY02,05/07/2026,2026-05-17T00:00:00+08:00,2026-07-04T00:00:00+08:00
90050,4500050,3031,issued,82417.38,MYR,MY01,2026-07-14 00:00:00,2026-04-01T00:00:00+08:00,2026-07-09T00:00:00+08:00
90051,4500051,3016,issued,64855.14,MYR,MY01,29/07/2026,2026-03-22T00:00:00+08:00,2026-06-18T00:00:00+08:00
90052,4500052,3002,closed,85301.3,MYR,MY02,2026-08-04 00:00:00,2026-04-23T00:00:00+08:00,2026-06-27T00:00:00+08:00
90053,4500053,3045,issued,175532.88,MYR,IN01,2026-08-08 00:00:00,2026-03-25T00:00:00+08:00,2026-07-07T00:00:00+08:00
90054,4500054,3018,issued,192100.62,MYR,MY02,09/08/2026,2026-03-19T00:00:00+08:00,2026-07-03T00:00:00+08:00
90055,4500055,3040,closed,147491.81,MYR,IN01,2026-07-19 00:00:00,2026-05-05T00:00:00+08:00,2026-06-20T00:00:00+08:00
90056,4500056,3039,issued,67912.63,MYR,MY01,2026-07-17 00:00:00,2026-04-23T00:00:00+08:00,2026-06-30T00:00:00+08:00
90057,4500057,3021,soft_closed,195127.93,MYR,MY01,2026-06-23 00:00:00,2026-06-22T00:00:00+08:00,2026-06-23T00:00:00+08:00
90058,4500058,3031,issued,20023.2,MYR,SG01,2026-06-20 00:00:00,2026-03-17T00:00:00+08:00,2026-07-15T00:00:00+08:00
90059,4500059,3020,issued,164695.58,MYR,MY02,24/07/2026,2026-06-02T00:00:00+08:00,2026-07-09T00:00:00+08:00
90060,4500060,3008,issued,25819.27,MYR,MY02,2026-08-13 00:00:00,2026-03-21T00:00:00+08:00,2026-06-18T00:00:00+08:00
90061,4500061,3024,soft_closed,32001.85,MYR,MY02,2026-07-06 00:00:00,2026-05-17T00:00:00+08:00,2026-07-05T00:00:00+08:00
90062,4500062,3012,issued,82870.02,MYR,MY01,2026-08-13 00:00:00,2026-04-26T00:00:00+08:00,2026-06-23T00:00:00+08:00
90063,4500063,3024,issued,124887.58,MYR,MY02,2026-07-13 00:00:00,2026-06-27T00:00:00+08:00,2026-06-17T00:00:00+08:00
90064,4500064,3033,closed,15233.12,MYR,MY02,2026-07-17 00:00:00,2026-03-29T00:00:00+08:00,2026-07-03T00:00:00+08:00
90065,4500065,3040,issued,189576.65,MYR,IN01,2026-06-24 00:00:00,2026-06-25T00:00:00+08:00,2026-06-22T00:00:00+08:00
90066,4500066,3011,closed,133504.75,MYR,MY01,2026-08-11 00:00:00,2026-03-20T00:00:00+08:00,2026-07-02T00:00:00+08:00
90067,4500067,3032,issued,170363.93,MYR,SG01,2026-06-24 00:00:00,2026-04-05T00:00:00+08:00,2026-06-17T00:00:00+08:00
90068,4500068,3008,closed,70321.86,MYR,MY02,2026-07-10 00:00:00,2026-06-07T00:00:00+08:00,2026-07-09T00:00:00+08:00
90069,4500069,3025,soft_closed,61579.33,MYR,MY02,2026-08-02 00:00:00,2026-07-05T00:00:00+08:00,2026-07-07T00:00:00+08:00
90070,4500070,3026,issued,75392.79,MYR,SG01,2026-07-11 00:00:00,2026-06-11T00:00:00+08:00,2026-06-15T00:00:00+08:00
90071,4500071,3014,issued,134378.39,MYR,MY02,2026-07-30 00:00:00,2026-04-16T00:00:00+08:00,2026-06-19T00:00:00+08:00
90072,4500072,3010,closed,98470.58,MYR,IN01,09/08/2026,2026-04-21T00:00:00+08:00,2026-06-30T00:00:00+08:00
90073,4500073,3010,issued,70501.65,MYR,SG01,2026-07-04 00:00:00,2026-06-29T00:00:00+08:00,2026-06-16T00:00:00+08:00
90074,4500074,3043,issued,184847.91,MYR,SG01,2026-06-30 00:00:00,2026-06-25T00:00:00+08:00,2026-07-05T00:00:00+08:00
90075,4500075,3039,issued,120174.0,MYR,MY02,2026-07-12 00:00:00,2026-05-12T00:00:00+08:00,2026-07-14T00:00:00+08:00
90076,4500076,3040,issued,96737.82,MYR,IN01,2026-07-08 00:00:00,2026-05-09T00:00:00+08:00,2026-06-18T00:00:00+08:00
90077,4500077,3042,issued,78766.77,MYR,SG01,2026-08-03 00:00:00,2026-03-26T00:00:00+08:00,2026-06-25T00:00:00+08:00
90078,4500078,3029,issued,68024.31,MYR,MY01,2026-07-07 00:00:00,2026-04-09T00:00:00+08:00,2026-06-30T00:00:00+08:00
90079,4500079,3040,issued,19532.05,MYR,SG01,2026-06-27 00:00:00,2026-07-01T00:00:00+08:00,2026-06-15T00:00:00+08:00
90080,4500080,3017,issued,73613.66,MYR,CN01,Aug 8 2026,2026-07-21T00:00:00+08:00,2026-07-16T00:00:00+08:00
90081,4500081,3053,issued,194383.97,MYR,MY02,2026-08-08 00:00:00,2026-07-09T00:00:00+08:00,2026-07-10T00:00:00+08:00
90082,4500082,3001,issued,156782.98,MYR,MY02,Sep 9 2026,2026-06-29T00:00:00+08:00,2026-07-18T00:00:00+08:00
90083,4500083,3063,issued,56760.31,MYR,CN01,2026-09-13 00:00:00,2026-05-06T00:00:00+08:00,2026-07-24T00:00:00+08:00
90084,4500084,3003,issued,163417.8,MYR,SG01,Aug 7 2026,2026-05-02T00:00:00+08:00,2026-07-06T00:00:00+08:00
90085,4500085,3059,issued,133046.44,MYR,MY02,Aug 7 2026,2026-04-30T00:00:00+08:00,2026-07-05T00:00:00+08:00
90086,4500086,3063,issued,73122.35,MYR,MY01,Sep 11 2026,2026-06-13T00:00:00+08:00,2026-07-23T00:00:00+08:00
90087,4500087,3040,issued,175145.45,MYR,IN01,25/07/2026,2026-04-10T00:00:00+08:00,2026-07-15T00:00:00+08:00
90088,4500088,3020,closed,89305.37,MYR,MY01,30/07/2026,2026-05-13T00:00:00+08:00,2026-07-16T00:00:00+08:00
90089,4500089,3038,closed,41875.28,MYR,MY01,2026-08-17 00:00:00,2026-06-17T00:00:00+08:00,2026-07-10T00:00:00+08:00
90090,4500090,3000,closed,138250.29,MYR,TH01,2026-09-13 00:00:00,2026-05-04T00:00:00+08:00,2026-07-10T00:00:00+08:00
90091,4500091,3006,issued,125892.15,MYR,CN01,2026-09-20 00:00:00,2026-06-19T00:00:00+08:00,2026-07-25T00:00:00+08:00
90092,4500092,3024,soft_closed,68279.48,MYR,TH01,12/08/2026,2026-05-28T00:00:00+08:00,2026-07-01T00:00:00+08:00
90093,4500093,3016,soft_closed,136399.68,MYR,SG01,2026-09-04 00:00:00,2026-06-05T00:00:00+08:00,2026-07-15T00:00:00+08:00
90094,4500094,3024,issued,63951.74,MYR,SG01,2026-08-28 00:00:00,2026-05-13T00:00:00+08:00,2026-07-22T00:00:00+08:00
90095,4500095,3043,issued,95207.71,MYR,TH01,Sep 3 2026,2026-06-13T00:00:00+08:00,2026-07-03T00:00:00+08:00
90096,4500096,3038,issued,132817.04,MYR,SG01,12/09/2026,2026-05-23T00:00:00+08:00,2026-07-18T00:00:00+08:00
90097,4500097,3046,issued,163774.15,MYR,TH01,2026-08-14 00:00:00,2026-06-13T00:00:00+08:00,2026-07-06T00:00:00+08:00
90098,4500098,3018,issued,13965.46,MYR,MY02,Aug 2 2026,2026-06-05T00:00:00+08:00,2026-07-24T00:00:00+08:00
90099,4500099,3055,soft_closed,176910.56,MYR,MY01,2026-08-22 00:00:00,2026-06-18T00:00:00+08:00,2026-07-19T00:00:00+08:00
90100,4500100,3030,issued,33628.84,MYR,SG01,2026-08-18 00:00:00,2026-07-11T00:00:00+08:00,2026-07-21T00:00:00+08:00
90101,4500101,3063,soft_closed,47455.18,MYR,MY01,Sep 11 2026,2026-03-25T00:00:00+08:00,2026-07-14T00:00:00+08:00
90102,4500102,3019,issued,160474.82,MYR,MY01,22/08/2026,2026-07-18T00:00:00+08:00,2026-07-21T00:00:00+08:00
90103,4500103,3068,closed,87787.71,MYR,SG01,Sep 1 2026,2026-07-11T00:00:00+08:00,2026-07-02T00:00:00+08:00
90104,4500104,3053,issued,150844.7,MYR,SG01,21/08/2026,2026-06-25T00:00:00+08:00,2026-07-21T00:00:00+08:00
90105,4500105,3039,issued,58271.9,MYR,SG01,2026-09-02 00:00:00,2026-06-18T00:00:00+08:00,2026-07-06T00:00:00+08:00
90106,4500106,3019,issued,178247.21,MYR,IN01,2026-08-14 00:00:00,2026-04-05T00:00:00+08:00,2026-07-01T00:00:00+08:00
90107,4500107,3018,issued,142045.31,MYR,SG01,2026-09-06 00:00:00,2026-05-11T00:00:00+08:00,2026-07-10T00:00:00+08:00
90108,4500108,3027,soft_closed,17079.55,MYR,TH01,Aug 22 2026,2026-05-07T00:00:00+08:00,2026-07-25T00:00:00+08:00
90109,4500109,3055,issued,171206.01,MYR,TH01,Sep 6 2026,2026-05-19T00:00:00+08:00,2026-06-27T00:00:00+08:00
90110,4500110,3072,soft_closed,170568.9,MYR,IN01,Aug 12 2026,2026-05-26T00:00:00+08:00,2026-07-20T00:00:00+08:00
90111,4500111,3053,closed,179175.4,MYR,TH01,Sep 13 2026,2026-04-16T00:00:00+08:00,2026-07-05T00:00:00+08:00
90112,4500112,3033,soft_closed,70209.13,MYR,SG01,Jul 25 2026,2026-06-19T00:00:00+08:00,2026-07-02T00:00:00+08:00
90113,4500113,3060,issued,195260.06,MYR,SG01,2026-09-20 00:00:00,2026-07-13T00:00:00+08:00,2026-07-09T00:00:00+08:00
90114,4500114,3043,issued,21285.81,MYR,TH01,Sep 4 2026,2026-04-05T00:00:00+08:00,2026-07-24T00:00:00+08:00
90115,4500115,3035,issued,78546.15,MYR,MY02,2026-07-27 00:00:00,2026-05-16T00:00:00+08:00,2026-07-07T00:00:00+08:00
90116,4500116,3027,soft_closed,53940.68,MYR,SG01,2026-08-10 00:00:00,2026-05-18T00:00:00+08:00,2026-06-27T00:00:00+08:00
90117,4500117,3053,issued,48499.1,MYR,TH01,2026-07-27 00:00:00,2026-06-26T00:00:00+08:00,2026-07-17T00:00:00+08:00
90118,4500118,3003,issued,167810.4,MYR,MY01,2026-08-08 00:00:00,2026-04-18T00:00:00+08:00,2026-07-01T00:00:00+08:00
90119,4500119,3036,closed,188864.86,MYR,CN01,Jul 31 2026,2026-06-16T00:00:00+08:00,2026-07-05T00:00:00+08:00
90120,4500120,3055,closed,122806.01,MYR,IN01,2026-08-03 00:00:00,2026-06-26T00:00:00+08:00,2026-07-23T00:00:00+08:00
90121,4500121,3014,closed,9981.61,MYR,IN01,30/07/2026,2026-05-31T00:00:00+08:00,2026-07-18T00:00:00+08:00
90122,4500122,3069,issued,19743.32,MYR,SG01,2026-08-18 00:00:00,2026-04-01T00:00:00+08:00,2026-07-19T00:00:00+08:00
90123,4500123,3055,closed,161272.42,MYR,IN01,2026-09-16 00:00:00,2026-05-02T00:00:00+08:00,2026-07-14T00:00:00+08:00
90124,4500124,3033,issued,103156.39,MYR,CN01,16/08/2026,2026-03-20T00:00:00+08:00,2026-07-24T00:00:00+08:00
90125,4500125,3032,soft_closed,191392.79,MYR,SG01,Jul 30 2026,2026-06-17T00:00:00+08:00,2026-07-01T00:00:00+08:00
90126,4500126,3033,closed,192301.9,MYR,MY02,08/09/2026,2026-06-05T00:00:00+08:00,2026-07-22T00:00:00+08:00
90127,4500127,3069,soft_closed,95185.51,MYR,TH01,11/09/2026,2026-04-29T00:00:00+08:00,2026-07-24T00:00:00+08:00
90128,4500128,3019,soft_closed,52309.51,MYR,MY01,Aug 10 2026,2026-05-30T00:00:00+08:00,2026-07-16T00:00:00+08:00
90129,4500129,3048,issued,100895.46,MYR,SG01,14/08/2026,2026-04-11T00:00:00+08:00,2026-07-12T00:00:00+08:00
90130,4500130,3017,issued,71025.74,MYR,IN01,13/09/2026,2026-05-29T00:00:00+08:00,2026-06-27T00:00:00+08:00
90131,4500131,3039,issued,144694.48,MYR,MY02,Jul 29 2026,2026-05-29T00:00:00+08:00,2026-07-21T00:00:00+08:00
90132,4500132,3019,soft_closed,91945.86,MYR,CN01,2026-08-23 00:00:00,2026-03-30T00:00:00+08:00,2026-07-06T00:00:00+08:00
90133,4500133,3018,issued,64403.97,MYR,SG01,06/09/2026,2026-05-18T00:00:00+08:00,2026-07-14T00:00:00+08:00
90134,4500134,3039,closed,69173.51,MYR,IN01,Aug 20 2026,2026-04-22T00:00:00+08:00,2026-07-06T00:00:00+08:00
90135,4500135,3020,issued,66216.3,MYR,MY02,2026-07-31 00:00:00,2026-04-12T00:00:00+08:00,2026-07-03T00:00:00+08:00
90136,4500136,3053,closed,194461.76,MYR,SG01,10/08/2026,2026-07-22T00:00:00+08:00,2026-06-30T00:00:00+08:00
90137,4500137,3060,issued,75010.93,MYR,MY02,11/08/2026,2026-03-20T00:00:00+08:00,2026-07-19T00:00:00+08:00
90138,4500138,3040,issued,194013.22,MYR,MY02,10/08/2026,2026-06-16T00:00:00+08:00,2026-07-01T00:00:00+08:00
90139,4500139,3046,issued,116368.46,MYR,SG01,Jul 30 2026,2026-05-19T00:00:00+08:00,2026-07-11T00:00:00+08:00
90140,4500140,3027,issued,187566.34,MYR,MY02,Jul 27 2026,2026-04-02T00:00:00+08:00,2026-07-23T00:00:00+08:00
90141,4500141,3006,issued,116942.1,MYR,SG01,2026-08-24 00:00:00,2026-04-07T00:00:00+08:00,2026-07-01T00:00:00+08:00
90142,4500142,3058,issued,197820.12,MYR,TH01,2026-08-12 00:00:00,2026-05-29T00:00:00+08:00,2026-07-21T00:00:00+08:00
90143,4500143,3032,closed,48783.3,MYR,TH01,Aug 31 2026,2026-05-15T00:00:00+08:00,2026-07-26T00:00:00+08:00
90144,4500144,3034,closed,197066.06,MYR,IN01,17/09/2026,2026-05-30T00:00:00+08:00,2026-07-16T00:00:00+08:00
90145,4500145,3004,issued,188832.5,MYR,TH01,2026-09-09 00:00:00,2026-06-07T00:00:00+08:00,2026-07-03T00:00:00+08:00
90146,4500146,3020,issued,51533.84,MYR,CN01,2026-07-29 00:00:00,2026-04-08T00:00:00+08:00,2026-06-27T00:00:00+08:00
90147,4500147,3032,closed,96163.02,MYR,SG01,2026-09-06 00:00:00,2026-04-17T00:00:00+08:00,2026-07-06T00:00:00+08:00
90148,4500148,3051,soft_closed,18808.87,MYR,IN01,2026-09-06 00:00:00,2026-07-15T00:00:00+08:00,2026-07-05T00:00:00+08:00
90149,4500149,3056,issued,87476.96,MYR,CN01,2026-08-30 00:00:00,2026-06-09T00:00:00+08:00,2026-07-01T00:00:00+08:00
90150,4500150,3069,issued,18853.51,MYR,IN01,2026-09-14 00:00:00,2026-06-28T00:00:00+08:00,2026-07-06T00:00:00+08:00
90151,4500151,3044,closed,183711.35,MYR,CN01,Sep 14 2026,2026-04-03T00:00:00+08:00,2026-07-11T00:00:00+08:00
90152,4500152,3050,soft_closed,187879.19,MYR,IN01,Sep 6 2026,2026-05-14T00:00:00+08:00,2026-06-29T00:00:00+08:00
90153,4500153,3044,soft_closed,147499.58,MYR,MY01,18/09/2026,2026-03-22T00:00:00+08:00,2026-06-29T00:00:00+08:00
90154,4500154,3018,closed,118901.85,MYR,CN01,2026-09-15 00:00:00,2026-06-24T00:00:00+08:00,2026-07-18T00:00:00+08:00
90155,4500155,3059,issued,153043.15,MYR,IN01,2026-08-29 00:00:00,2026-05-18T00:00:00+08:00,2026-07-13T00:00:00+08:00
90156,4500156,3047,issued,40208.89,MYR,SG01,Sep 20 2026,2026-06-08T00:00:00+08:00,2026-07-23T00:00:00+08:00
90157,4500157,3037,issued,84219.53,MYR,MY01,23/08/2026,2026-06-12T00:00:00+08:00,2026-06-30T00:00:00+08:00
90158,4500158,3062,soft_closed,139572.69,MYR,MY02,14/08/2026,2026-06-11T00:00:00+08:00,2026-07-09T00:00:00+08:00
90159,4500159,3059,soft_closed,22083.6,MYR,TH01,26/07/2026,2026-04-29T00:00:00+08:00,2026-06-30T00:00:00+08:00
90160,4500160,3055,closed,165035.88,MYR,SG01,2026-09-17 00:00:00,2026-06-11T00:00:00+08:00,2026-07-24T00:00:00+08:00
90161,4500161,3040,issued,41391.01,MYR,SG01,19/08/2026,2026-06-06T00:00:00+08:00,2026-07-21T00:00:00+08:00
90162,4500162,3037,issued,44490.3,MYR,CN01,2026-08-21 00:00:00,2026-07-15T00:00:00+08:00,2026-07-06T00:00:00+08:00
90163,4500163,3034,issued,10600.67,MYR,CN01,2026-08-24 00:00:00,2026-06-17T00:00:00+08:00,2026-07-02T00:00:00+08:00
90164,4500164,3024,closed,84150.19,MYR,TH01,2026-07-24 00:00:00,2026-07-04T00:00:00+08:00,2026-07-26T00:00:00+08:00
90165,4500165,3011,issued,101684.85,MYR,SG01,31/07/2026,2026-05-23T00:00:00+08:00,2026-07-19T00:00:00+08:00
90166,4500166,3021,soft_closed,195167.46,MYR,SG01,2026-09-15 00:00:00,2026-05-16T00:00:00+08:00,2026-07-14T00:00:00+08:00
90167,4500167,3013,closed,103598.73,MYR,SG01,2026-08-05 00:00:00,2026-07-07T00:00:00+08:00,2026-06-29T00:00:00+08:00
90168,4500168,3021,closed,56831.5,MYR,SG01,2026-08-14 00:00:00,2026-04-24T00:00:00+08:00,2026-07-20T00:00:00+08:00
90169,4500169,3024,soft_closed,172860.56,MYR,TH01,Aug 30 2026,2026-05-26T00:00:00+08:00,2026-07-12T00:00:00+08:00
90170,4500170,3028,closed,78178.75,MYR,IN01,28/08/2026,2026-07-08T00:00:00+08:00,2026-07-03T00:00:00+08:00
90171,4500171,3050,soft_closed,50311.11,MYR,MY02,Aug 29 2026,2026-03-24T00:00:00+08:00,2026-07-07T00:00:00+08:00
90172,4500172,3053,soft_closed,79899.28,MYR,SG01,2026-09-07 00:00:00,2026-05-21T00:00:00+08:00,2026-06-28T00:00:00+08:00
90173,4500173,3012,issued,173721.86,MYR,TH01,Aug 30 2026,2026-03-31T00:00:00+08:00,2026-07-13T00:00:00+08:00
90174,4500174,3069,issued,84535.85,MYR,SG01,2026-07-24 00:00:00,2026-03-28T00:00:00+08:00,2026-07-12T00:00:00+08:00
90175,4500175,3056,closed,139384.69,MYR,IN01,2026-08-14 00:00:00,2026-07-06T00:00:00+08:00,2026-07-07T00:00:00+08:00
90176,4500176,3062,closed,78721.82,MYR,CN01,16/09/2026,2026-06-07T00:00:00+08:00,2026-07-19T00:00:00+08:00
90177,4500177,3064,closed,11964.43,MYR,SG01,2026-09-17 00:00:00,2026-04-18T00:00:00+08:00,2026-07-17T00:00:00+08:00
90178,4500178,3049,issued,89190.47,MYR,IN01,2026-08-07 00:00:00,2026-06-24T00:00:00+08:00,2026-07-17T00:00:00+08:00
90179,4500179,3051,issued,139636.23,MYR,MY01,2026-08-21 00:00:00,2026-03-24T00:00:00+08:00,2026-07-07T00:00:00+08:00
90180,4500180,3056,issued,77719.17,MYR,MY01,2026-08-11 00:00:00,2026-04-19T00:00:00+08:00,2026-07-13T00:00:00+08:00
90181,4500181,3032,issued,37976.83,MYR,TH01,2026-09-05 00:00:00,2026-06-05T00:00:00+08:00,2026-07-24T00:00:00+08:00
90182,4500182,3030,issued,101547.45,MYR,TH01,2026-09-05 00:00:00,2026-04-17T00:00:00+08:00,2026-07-11T00:00:00+08:00
90183,4500183,3046,issued,134367.1,MYR,IN01,Aug 22 2026,2026-07-12T00:00:00+08:00,2026-07-06T00:00:00+08:00
90184,4500184,3049,issued,90695.58,MYR,TH01,03/08/2026,2026-06-02T00:00:00+08:00,2026-07-06T00:00:00+08:00
90185,4500185,3046,issued,93626.15,MYR,SG01,06/09/2026,2026-04-13T00:00:00+08:00,2026-07-09T00:00:00+08:00
90186,4500186,3062,issued,78984.67,MYR,SG01,30/07/2026,2026-05-31T00:00:00+08:00,2026-07-06T00:00:00+08:00
90187,4500187,3050,soft_closed,58249.19,MYR,IN01,2026-07-25 00:00:00,2026-07-13T00:00:00+08:00,2026-07-16T00:00:00+08:00
90188,4500188,3053,issued,155493.75,MYR,SG01,2026-09-15 00:00:00,2026-06-04T00:00:00+08:00,2026-07-22T00:00:00+08:00
90189,4500189,3028,issued,125452.89,MYR,MY02,2026-09-02 00:00:00,2026-06-07T00:00:00+08:00,2026-06-30T00:00:00+08:00
90190,4500190,3068,issued,64932.98,MYR,CN01,Sep 3 2026,2026-03-23T00:00:00+08:00,2026-07-15T00:00:00+08:00
90191,4500191,3029,issued,181467.8,MYR,CN01,01/08/2026,2026-06-22T00:00:00+08:00,2026-07-10T00:00:00+08:00
90192,4500192,3015,closed,175033.36,MYR,MY02,01/08/2026,2026-05-25T00:00:00+08:00,2026-07-13T00:00:00+08:00
90193,4500193,3069,issued,54852.2,MYR,IN01,Sep 15 2026,2026-07-20T00:00:00+08:00,2026-07-22T00:00:00+08:00
